full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;is-fork;fork-parent;last-commit;domain-files
AdvantageCommunity/RASA-BOT;https://github.com/AdvantageCommunity/RASA-BOT;0;2;2023-08-19T17:43:39Z;2023-11-20T02:10:05Z;2023-08-21T15:38:23Z;main;AdvantageCommunity;138849881;Organization;False;;898c0ec1f9332bf2e660729ac6c248ad2cbb5de1;[]
leonammeta8154/LEON_TEST;https://github.com/leonammeta8154/LEON_TEST;0;0;2020-04-17T20:10:05Z;2020-04-22T19:10:52Z;2023-07-23T12:20:02Z;master;leonammeta8154;32780262;User;False;;73345e9895729b4bc7a255eac532c6ec70f9bc84;[]
angelomauro10/RASA-chatbot;https://github.com/angelomauro10/RASA-chatbot;0;0;2023-05-10T02:39:12Z;2023-05-31T23:47:13Z;2023-07-16T19:45:50Z;main;angelomauro10;47904849;User;False;;19b6325c9c542e01b8f90dfcb722824696b0c0db;[]
luiscoto/RASA_ChatBot;https://github.com/luiscoto/RASA_ChatBot;0;0;2023-07-10T14:52:23Z;2023-07-10T14:53:30Z;2023-07-10T14:53:27Z;main;luiscoto;81122669;User;False;;45b580b4898a37e781f514439a8a8a6263583b48;[]
JaiBharath-1052/modefin_rasa;https://github.com/JaiBharath-1052/modefin_rasa;1;0;2023-04-21T03:30:04Z;2023-12-18T13:47:40Z;2023-06-18T04:50:13Z;main;JaiBharath-1052;62696974;User;False;;4a4327de700624bc885cf27b34b3839d2d00a84e;[]
karim-aloulou/Espitchatbot-RASA-RAVEN;https://github.com/karim-aloulou/Espitchatbot-RASA-RAVEN;13;1;2023-04-22T22:46:05Z;2024-03-13T00:05:26Z;2023-05-19T18:05:42Z;RWKV-4-Raven;karim-aloulou;80290610;User;False;;889670fabe38702f65a79542b9918ae09d991ffd;[]
MonikaLukowska-3city/ChatBot;https://github.com/MonikaLukowska-3city/ChatBot;0;0;2023-03-19T16:47:47Z;2023-03-19T16:49:07Z;2023-04-26T17:12:25Z;main;MonikaLukowska-3city;53968964;User;False;;5d72d16c3eba3b5b01728a3e35909ccdb3d34496;[]
peiisme/chatbot_rasa;https://github.com/peiisme/chatbot_rasa;1;1;2023-03-13T13:08:47Z;2023-04-18T03:34:22Z;2023-04-01T04:39:42Z;master;peiisme;86295675;User;False;;78604ca1938e01e91535e0891d2fa96179cac3b3;[]
Prathyusha-96/Rasa_Covid_Chatbot;https://github.com/Prathyusha-96/Rasa_Covid_Chatbot;0;0;2022-12-27T04:45:36Z;2022-12-27T04:48:23Z;2022-12-27T04:48:19Z;master;Prathyusha-96;89379190;User;False;;d5a5a4b7c0ea2d6e94300fc53cbb1fe6b5f1cc3f;[]
sandhyagirish12/RASABOT_Project;https://github.com/sandhyagirish12/RASABOT_Project;0;0;2022-11-01T13:05:11Z;2022-11-01T13:06:27Z;2022-11-05T15:32:34Z;Project;sandhyagirish12;110160187;User;False;;f3e12f2422961511422f8c14adb1266412afc4c5;[]
ananyaredhu/grid3.0;https://github.com/ananyaredhu/grid3.0;0;0;2021-09-22T20:54:27Z;2022-01-07T09:41:22Z;2022-01-07T09:37:50Z;main;ananyaredhu;80976208;User;False;;bbc2adddeb1edfb3c54276eefb760c4ea3fd35be;[]
vyomguptaa/grid3.0;https://github.com/vyomguptaa/grid3.0;2;0;2021-09-21T05:36:21Z;2023-08-20T15:29:54Z;2021-12-29T19:38:11Z;main;vyomguptaa;64950836;User;False;;924fc39e1ecc244d9021c030e4af192dd3682b43;[]
sarthak3026/ChatBot-using-RASA;https://github.com/sarthak3026/ChatBot-using-RASA;0;0;2021-01-03T20:41:06Z;2021-01-03T20:46:19Z;2021-01-03T20:46:16Z;master;sarthak3026;56459962;User;False;;e5bcc7e2bf5d1adb3614808ab4f2889ed37b7d4f;[]
cahya-wirawan/AskMeAnything-Chatbot;https://github.com/cahya-wirawan/AskMeAnything-Chatbot;4;1;2020-11-18T09:11:03Z;2022-01-25T06:11:58Z;2020-12-17T15:27:36Z;main;cahya-wirawan;7669893;User;False;;43535a52244498e62858bd6c3108373bef676933;[]
ma1VAR3/doctr;https://github.com/ma1VAR3/doctr;0;1;2020-12-12T12:22:41Z;2020-12-13T11:28:14Z;2020-12-13T11:28:12Z;main;ma1VAR3;53753289;User;False;;bba134ea87665f66bf0a6f2281ec0ef54a06f60e;[]
ashus3868/RasaSubscriberCount;https://github.com/ashus3868/RasaSubscriberCount;6;10;2020-03-29T11:27:16Z;2022-09-21T05:17:04Z;2020-09-28T20:31:29Z;master;ashus3868;47918474;User;False;;686b65ea2e1c72eeebe67f392511880b523dbe2b;[]
parthmodi152/Sex-ed;https://github.com/parthmodi152/Sex-ed;0;2;2020-09-04T21:53:42Z;2020-09-06T18:02:04Z;2020-09-06T18:02:02Z;master;parthmodi152;62423981;User;False;;45f4cca9b05861a9398f70780e1ec8ba5a7dea0d;[]
ballavamsi/chatbot;https://github.com/ballavamsi/chatbot;0;1;2020-08-27T04:09:27Z;2020-08-29T13:00:09Z;2020-08-29T13:00:07Z;master;ballavamsi;18742947;User;False;;d5520566000bd68bbedb5cb0d9f304b9dee51b01;[]
charlesXu86/Chatbot_DM;https://github.com/charlesXu86/Chatbot_DM;8;9;2019-10-03T06:01:32Z;2023-07-09T08:53:41Z;2020-06-26T14:21:15Z;master;charlesXu86;13271848;User;False;;60b1c17f50598449b2f6d4b79f459bc7b9aef9b5;[]
MalwareC500/rasa_core;https://github.com/MalwareC500/rasa_core;0;0;2020-04-08T07:50:28Z;2020-04-27T02:31:24Z;2020-05-30T01:54:35Z;master;MalwareC500;22408114;User;False;;d51dac663f7f4ce85bc61b269180cedad9610269;[]
KaczmarekWill/airo_chatbot;https://github.com/KaczmarekWill/airo_chatbot;4;10;2019-10-12T20:30:24Z;2021-03-07T23:12:11Z;2019-11-12T16:39:46Z;master;KaczmarekWill;22570119;User;False;;f2b78755e5e092b057c718eea0a973d3a7391272;[]
lionelsome/Tourism_chatbot_RasaNLU;https://github.com/lionelsome/Tourism_chatbot_RasaNLU;7;3;2018-11-30T11:14:38Z;2023-09-10T19:13:24Z;2018-12-12T21:06:13Z;master;lionelsome;35596236;User;False;;917c8b5b27de358e413a11d9426b11138a3c316f;[]
FRZWLF/AI-assisted_voice_assistant;https://github.com/FRZWLF/AI-assisted_voice_assistant;0;0;2024-10-23T13:14:18Z;2025-01-13T07:23:16Z;2025-01-13T07:23:12Z;master;FRZWLF;42942759;User;False;;51e5dfe31121e35c907ca0846236513e4a6095c5;[]
RahulGopinath31/GROUP_5_FINAL_PROJECT;https://github.com/RahulGopinath31/GROUP_5_FINAL_PROJECT;0;0;2022-11-16T13:56:58Z;2022-11-16T14:13:28Z;2022-11-16T14:13:23Z;main;RahulGopinath31;36799286;User;False;;21c3fb311614bead260abad43eea13a33bf301c9;[]
Hussain0520/Chatbot-for-diet-analysis;https://github.com/Hussain0520/Chatbot-for-diet-analysis;0;0;2022-09-10T16:01:36Z;2022-09-10T16:03:48Z;2022-09-10T16:03:45Z;main;Hussain0520;61119242;User;False;;67a40514341a258e1d5c1add60c115aabbd1ffab;[]
aexae-h/rasa_chatbot2;https://github.com/aexae-h/rasa_chatbot2;0;0;2022-05-02T12:50:10Z;2022-05-02T13:05:03Z;2022-05-02T13:06:38Z;master;aexae-h;36262567;User;False;;80f90c4e71e1c4e476f07751cab1aa19f72d8cad;[]
aexae-h/rasa_chatbot;https://github.com/aexae-h/rasa_chatbot;0;0;2022-05-02T12:41:07Z;2022-05-02T12:44:42Z;2022-05-02T12:47:28Z;main;aexae-h;36262567;User;False;;14728c527b1051f9283e486281ef059137fda311;[]
mahirt1228/chatbot-for-diet-analysis;https://github.com/mahirt1228/chatbot-for-diet-analysis;1;0;2022-04-19T04:47:31Z;2022-04-19T05:59:24Z;2022-04-25T07:40:25Z;main;mahirt1228;103981795;User;False;;3d26e82c073cf7e7c70d2c592da602251b5831f7;[]
jay3112000/Boost-RASA;https://github.com/jay3112000/Boost-RASA;0;0;2022-03-06T09:49:05Z;2022-03-06T09:50:47Z;2022-03-06T09:50:43Z;master;jay3112000;61292543;User;False;;e4b9e325ca76ed2faeee0ce04a43053bb77a1437;[]
anthonydmg/chatbot-aerito;https://github.com/anthonydmg/chatbot-aerito;0;0;2021-12-10T21:20:27Z;2021-12-11T02:24:56Z;2022-02-12T01:56:42Z;main;anthonydmg;41308210;User;False;;9381e0cd89ba4b3c3d13b679293dc54414a5aaef;[]
vuongnguyendv/rasa_subscriber;https://github.com/vuongnguyendv/rasa_subscriber;0;0;2021-12-14T01:00:37Z;2021-12-14T01:06:52Z;2021-12-14T01:33:49Z;master;vuongnguyendv;96055648;User;False;;46598c6fd786279b362e86c917b327ff48ed731d;[]
anusuyababy/Rasa-Chatbot;https://github.com/anusuyababy/Rasa-Chatbot;0;0;2021-07-21T09:46:24Z;2021-07-21T10:04:52Z;2021-07-21T09:57:12Z;main;anusuyababy;69139140;User;False;;2ea0408342ee2185acc38786262e0f9e0e1e7e90;[]
Bm08/ChatBot;https://github.com/Bm08/ChatBot;1;0;2021-06-03T08:49:44Z;2021-06-09T10:57:00Z;2021-06-03T14:37:51Z;main;Bm08;60775734;User;False;;ad7659bfbb5b9e2f711c1fb17acd12bc00ee2fe2;[]
samarth-jangda/Rasa_Chatbot;https://github.com/samarth-jangda/Rasa_Chatbot;0;0;2021-05-10T15:55:52Z;2021-05-12T10:56:53Z;2021-05-10T15:57:30Z;main;samarth-jangda;48179563;User;False;;146e843090258606cddb2acfebb35a5dca92753a;[]
diefenic/eticabot;https://github.com/diefenic/eticabot;0;0;2020-11-27T00:27:06Z;2020-12-01T02:14:55Z;2020-12-01T02:14:53Z;main;diefenic;49662583;User;False;;05da1b1040da4965d15a3f45f916a2633490562c;[]
Abhishek234/Limechat-HotelBot;https://github.com/Abhishek234/Limechat-HotelBot;1;0;2020-11-06T16:14:39Z;2021-01-15T10:51:43Z;2020-11-24T11:51:30Z;main;Abhishek234;33246891;User;False;;9193a1d66707a037ead37bc2142d146ee210ec1c;[]
Espher5/Rasa_chatbot_test;https://github.com/Espher5/Rasa_chatbot_test;0;0;2020-10-18T20:14:47Z;2022-06-02T10:47:32Z;2020-10-19T13:30:17Z;main;Espher5;48891689;User;False;;a95b83ef9462d8b1a8a59eb955836dbe840e6dee;[]
Gopinadh11/rasa-telugu-chatbot;https://github.com/Gopinadh11/rasa-telugu-chatbot;0;0;2020-09-23T14:04:02Z;2020-09-23T16:24:02Z;2020-09-23T16:24:00Z;master;Gopinadh11;47189665;User;False;;8f664c9cfbdc0c9e3d0855b5951809b2eb19e75b;[]
v-diepttn147/ecommerce-chatbot;https://github.com/v-diepttn147/ecommerce-chatbot;1;0;2020-04-27T11:35:01Z;2021-12-10T02:47:20Z;2020-08-18T09:56:13Z;master;v-diepttn147;48884001;User;False;;e57fef91f15f6c98627c55bf615ba055d4b6690f;[]
tskarthik007/Med_Bot;https://github.com/tskarthik007/Med_Bot;0;0;2020-07-30T14:37:51Z;2022-07-09T16:14:30Z;2020-08-03T09:39:29Z;master;tskarthik007;41264444;User;False;;5285aeea6c6f76f7b98506bbf35c53de5cc98c2e;[]
tanurag2000/chatbot-using-Rasa;https://github.com/tanurag2000/chatbot-using-Rasa;0;0;2020-07-17T15:01:53Z;2020-07-19T08:24:04Z;2020-07-17T15:12:40Z;master;tanurag2000;42093969;User;False;;46bb45ed38a32a2d5f8e9226398978b00e6f2341;[]
raazkarkee405/Virtual-Tourist-Guide;https://github.com/raazkarkee405/Virtual-Tourist-Guide;0;0;2020-04-02T06:46:15Z;2020-07-15T05:15:29Z;2020-06-30T10:36:14Z;master;raazkarkee405;26194365;User;False;;ea9cc0ad11a711c423cae990f1a163af0ac3c378;[]
bsivadatta/Chatbot;https://github.com/bsivadatta/Chatbot;0;0;2020-04-14T16:13:52Z;2020-06-28T19:14:39Z;2020-06-28T19:14:36Z;master;bsivadatta;51356568;User;False;;e2b3123c00ee3dd7070d067c4830c81eec7d6ae5;[]
muks935/rasa_chatbot;https://github.com/muks935/rasa_chatbot;0;0;2020-05-22T05:43:36Z;2020-06-08T02:37:18Z;2020-06-08T02:37:15Z;master;muks935;47292606;User;False;;e829e2b8fb6dfa483d1558f983dc42528b8f69d2;[]
thainh107/chatbotRasa;https://github.com/thainh107/chatbotRasa;0;0;2019-11-25T07:01:34Z;2019-12-12T10:57:09Z;2019-12-12T10:57:07Z;master;thainh107;21236551;User;False;;b52f07adce46a8521274a274a9fb1ae879906734;[]
GowthamS07/Railway_Chatbot;https://github.com/GowthamS07/Railway_Chatbot;0;0;2019-08-27T18:28:20Z;2019-08-29T15:52:56Z;2019-08-29T15:52:55Z;master;GowthamS07;32368731;User;False;;14c7738a56f7c93b37b8e20e09063be05019de8b;[]
