full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;is-fork;fork-parent;last-commit;last-commit-date;domain-files;n-domain-files;domain-folders;n-domain-folders;nlu-files;n-nlu-files;n-nlu-yml;n-nlu-json;n-nlu-md;nlu-folders;n-nlu-folders;actions-files;n-actions-files;actions-folders;n-actions-folders;readme-files;n-readme-files
translatorswb/rasa_climate_change_data;https://github.com/translatorswb/rasa_climate_change_data;0;0;2023-08-14T10:23:37Z;2023-08-15T09:05:02Z;2023-08-16T09:09:39Z;main;translatorswb;39296527;Organization;False;;5346098310593d26b750fe7de3e1e7cf5db7fac2;2023-08-16T09:09:21Z;['domains/domain_v3.yml', 'domains/domain_v3_for_classifier.yml'];2;['domains'];1;['data_nlu/classifier/nlu_data_classifier.yml', 'data_nlu/eng/nlu_data_eng.yml', 'data_nlu/hindi/nlu_data_hindi.yml'];3;3;0;0;['data_nlu/classifier', 'data_nlu/eng', 'data_nlu/hindi'];3;[];0;[];0;['README.md'];1
rocaplin/VoltaicSparrow;https://github.com/rocaplin/VoltaicSparrow;0;0;2023-01-23T18:55:37Z;2023-03-21T00:00:17Z;2023-04-25T16:17:59Z;main;rocaplin;44077014;User;False;;a872b86429a51e2ea6e2354ed1e0aadcc90cabe0;2023-04-25T16:17:59Z;['rasa/domain/university.yml', 'rasa/domain/domain.yml', 'rasa/domain/computer_science.yml'];3;['rasa/domain'];1;['rasa/data/computer_science.yml', 'rasa/data/nlu.yml'];2;2;0;0;['rasa/data'];1;['rasa/actions/actions.py'];1;['rasa/actions'];1;['README.md'];1
MHD-Hamza-Ammar/SportsResultsChatbot;https://github.com/MHD-Hamza-Ammar/SportsResultsChatbot;0;2;2023-03-18T23:13:46Z;2023-03-18T23:34:49Z;2023-03-25T21:33:58Z;master;MHD-Hamza-Ammar;87787749;User;False;;1b5230074eef83339db150edab2212b3bbd49dd6;2023-03-25T21:33:27Z;['src/domain copy.yml', 'src/domain.yml'];2;['src'];1;['src/data/nlu.yml'];1;1;0;0;['src/data'];1;['src/actions/actions.py'];1;['src/actions'];1;['README.md'];1
constructorfleet/rasa-eddie;https://github.com/constructorfleet/rasa-eddie;0;0;2023-02-28T06:39:27Z;2023-02-28T06:52:24Z;2023-02-28T16:37:27Z;main;constructorfleet;49292922;Organization;False;;9d80801132a793fe98e0f4370e9de9ab23edfc86;2023-02-28T16:36:23Z;['domain/domain-food.yml', 'domain/domain-media.yml', 'domain/domain-chitchat.yml'];3;['domain'];1;['data/chitchat/nlu.yml', 'data/food/nlu.yml', 'data/media/nlu.yml'];3;3;0;0;['data/chitchat', 'data/food', 'data/media'];3;['actions/const.py', 'actions/utils.py', 'actions/media/const.py', 'actions/media/plex/const.py', 'actions/media/plex/library.py', 'actions/actions.py', 'actions/config.py'];7;['actions', 'actions/media', 'actions/media/plex'];3;[];0
DaSKITA/chatbot;https://github.com/DaSKITA/chatbot;1;1;2021-01-08T16:07:11Z;2023-01-25T21:11:54Z;2023-01-19T12:11:39Z;main;DaSKITA;64848786;Organization;False;;162a4e3a9a538fc3a511db9eaa527b3325b5e4f9;2023-01-19T12:11:38Z;['domain.yml', 'domain_en.yml'];2;['.'];1;['data/nlu.yml'];1;1;0;0;['data'];1;['actions/actions.py'];1;['actions'];1;['README.md'];1
Nikhileshorg/Chatbot-using-Rasa-NLU-and-Rasa-Core;https://github.com/Nikhileshorg/Chatbot-using-Rasa-NLU-and-Rasa-Core;0;0;2019-03-04T09:44:49Z;2019-07-01T06:30:20Z;2022-11-21T21:24:28Z;master;Nikhileshorg;10613047;User;False;;3ee9071e90796860c68a64c449a7276766425493;2019-07-01T06:30:18Z;['domain.yml', 'weather_domain.yml'];2;['.'];1;[];0;0;0;0;[];0;['actions.py'];1;['.'];1;['README.md'];1
KSzczepa/Shopping-Assistant-Chatbot;https://github.com/KSzczepa/Shopping-Assistant-Chatbot;5;1;2022-03-03T09:47:30Z;2024-04-18T14:18:07Z;2022-11-14T18:50:28Z;main;KSzczepa;87570436;User;False;;bd8685fe12d744939233596f29d14965e5bfe794;2022-11-14T18:50:28Z;['cogrob_chatbot/backup_domain.yml', 'cogrob_chatbot/domain.yml'];2;['cogrob_chatbot'];1;['cogrob_chatbot/data/nlu.yml'];1;1;0;0;['cogrob_chatbot/data'];1;['cogrob_chatbot/actions/dict.py', 'cogrob_chatbot/actions/actions.py', 'cogrob_chatbot/actions/tasks.py'];3;['cogrob_chatbot/actions'];1;['README.md'];1
swapnilsinha312/shebaChatbot;https://github.com/swapnilsinha312/shebaChatbot;2;0;2022-02-17T16:31:55Z;2022-05-16T17:10:10Z;2022-10-26T07:41:01Z;main;swapnilsinha312;62843760;User;False;;6cc6de4989cd3d126e2db2c1deb2fc85b0553f93;2022-10-26T07:41:00Z;['finbot/dd.yml', 'finbot/domain.yml'];2;['finbot'];1;['finbot/data/nlu.yml'];1;1;0;0;['finbot/data'];1;['finbot/actions/additional_cat.py', 'finbot/actions/suggest.py', 'finbot/actions/health.py', 'finbot/actions/actions.py', 'finbot/actions/classify.py', 'finbot/actions/life.py', 'finbot/actions/heathtemp.py', 'finbot/actions/bucket_mapping.py', 'finbot/actions/database.py'];9;['finbot/actions'];1;['README.md'];1
web3r-chat/dapp-0-bot;https://github.com/web3r-chat/dapp-0-bot;2;0;2022-06-07T10:40:07Z;2023-02-22T12:12:23Z;2022-07-22T04:23:35Z;main;web3r-chat;94992223;Organization;False;;a550e9eea8fb2745f7907f6ff37c262e4f08e5c6;2022-07-22T04:23:32Z;['domain/domain-base.yml', 'domain/domain-faq-about.yml', 'domain/domain-faq-sales.yml'];3;['domain'];1;['data/nlu/nlu-base.yml', 'data/nlu/nlu-faq-about.yml', 'data/nlu/nlu-faq-sales.yml'];3;3;0;0;['data/nlu'];1;['actions/custom_forms.py', 'actions/actions.py', 'actions/settings.py', 'actions/canister_motoko.py'];4;['actions'];1;['README.md'];1
Saloni1808/Chatbot;https://github.com/Saloni1808/Chatbot;0;1;2018-05-13T15:46:51Z;2020-08-14T14:55:15Z;2022-06-21T21:20:06Z;master;Saloni1808;33875907;User;False;;7f934f6130313644c09c9739ecddb1eea08c83f8;2020-08-14T14:55:12Z;['domain.yml', 'wine_domain.yml'];2;['.'];1;['data.json', 'training_data.json'];2;0;2;0;['.'];1;['actions.py'];1;['.'];1;['README.md'];1
roottoor1234/customer-care-chatbot-main;https://github.com/roottoor1234/customer-care-chatbot-main;0;0;2022-05-20T13:40:15Z;2022-05-20T13:56:38Z;2022-05-20T13:56:35Z;main;roottoor1234;12631749;User;False;;280a682f7187a98c99ac1b583fe8cc630f9441f3;2022-05-20T13:56:35Z;['domain.yml', 'domain.yml.bak'];2;['.'];1;['data/nlu.yml'];1;1;0;0;['data'];1;[];0;[];0;['README.md'];1
Jeee-bot/Chatbot;https://github.com/Jeee-bot/Chatbot;0;0;2022-04-26T12:09:57Z;2022-04-26T12:10:15Z;2022-04-26T12:12:07Z;main;Jeee-bot;78933746;User;False;;cf79ba6b12e21e2581056bb7abb169220d5ba5ad;2022-04-26T12:12:07Z;['domain.yml', 'domain2.yml'];2;['.'];1;['data/nlu.md'];1;0;0;1;['data'];1;['actions.py'];1;['.'];1;[];0
julianweng/austin;https://github.com/julianweng/austin;2;2;2022-01-04T14:47:39Z;2023-05-11T01:57:17Z;2022-03-10T15:31:48Z;main;julianweng;10285518;User;False;;8a9c846befe439ab7bbb15cbf8f03040a6e93c2f;2022-03-10T15:31:48Z;['domain/quiz_domain.yml', 'domain/faq_chitchat.yml', 'domain/actions_domain.yml', 'domain/base_domain.yml'];4;['domain'];1;['data/base.yml', 'data/chitchat.yml', 'data/faq.yml', 'data/inspire_joke.yml', 'data/quiz.yml', 'data/quiz_misc.yml', 'more_data/chitchat_long.yml', 'more_data/faq_learn.yml', 'more_data/nlu_personal.yml'];9;9;0;0;['data', 'more_data'];2;['actions/quizmisc.py', 'actions/getAlias.py', 'actions/generateQ.py', 'actions/quiz.py', 'actions/initdatabase.py', 'actions/base.py', 'actions/compareQuestions.py', 'actions/wiki.py', 'actions/inspire_joke.py'];9;['actions'];1;['README.md'];1
AdityaYadav02/Foodie_Chatbot_Rasa_Case_Study;https://github.com/AdityaYadav02/Foodie_Chatbot_Rasa_Case_Study;0;0;2022-03-04T05:59:05Z;2022-03-04T06:03:26Z;2022-03-04T06:05:20Z;main;AdityaYadav02;43476940;User;False;;33ac0cc40557d1c90be09c58204104f9d981d2db;2022-03-04T06:05:20Z;['domain.yml', 'domain2.yml'];2;['.'];1;['data/nlu.md'];1;0;0;1;['data'];1;['actions.py'];1;['.'];1;['README.md'];1
mbunse/botui_demo;https://github.com/mbunse/botui_demo;2;1;2019-02-21T22:19:15Z;2022-02-28T09:47:18Z;2022-03-02T14:36:13Z;master;mbunse;5903796;User;False;;78a5eb13e1deba6a7e61b50c7fa0b6330bac80d3;2022-02-28T09:43:04Z;['backend/domain.yml', 'backend/domain_de.yml'];2;['backend'];1;['backend/data/nlu.yml', 'backend/data_de/nlu.yml'];2;2;0;0;['backend/data', 'backend/data_de'];2;['backend/actions.py'];1;['backend'];1;['README.md'];1
anhquan075/rasa_programming_learning;https://github.com/anhquan075/rasa_programming_learning;4;1;2022-02-27T09:02:39Z;2023-12-03T14:42:14Z;2022-02-27T15:53:50Z;main;anhquan075;54442768;User;False;;35c6086c79d2f14b5561ee0e06cd91425dfa0716;2022-02-27T15:53:50Z;['domain.yml', 'domain_converted.yml'];2;['.'];1;['data/nlu_converted.yml'];1;1;0;0;['data'];1;['actions/actions.py'];1;['actions'];1;['README.md'];1
adhish9/SilentMoonChatbot;https://github.com/adhish9/SilentMoonChatbot;1;0;2021-09-20T11:39:27Z;2023-03-04T09:46:49Z;2022-02-03T06:33:02Z;main;adhish9;15371202;User;False;;522cebe81d3c2bce2bc750d61ab9c25d8d68dd13;2022-02-03T06:33:02Z;['domain.yml', 'domain_rasa_x.yml'];2;['.'];1;['data/nlu.yml'];1;1;0;0;['data'];1;['actions/actions.py'];1;['actions'];1;[];0
rasa-kelompok-6/unsri-chatbot-5000;https://github.com/rasa-kelompok-6/unsri-chatbot-5000;1;0;2021-11-24T12:43:55Z;2024-02-10T05:10:26Z;2021-11-24T13:55:21Z;main;rasa-kelompok-6;92133268;Organization;False;;ea1ed8e1f2544b5affd93be1d1116b2e7d0b29a8;2021-11-24T13:55:21Z;['backupdomain.yml', 'domain.yml'];2;['.'];1;['data/nlu.yml'];1;1;0;0;['data'];1;['actions/actions.py'];1;['actions'];1;['README.md'];1
rasa-kelompok-6/rasa-chatbot;https://github.com/rasa-kelompok-6/rasa-chatbot;0;1;2021-10-08T02:26:25Z;2021-11-18T14:21:16Z;2021-11-18T14:21:13Z;main;rasa-kelompok-6;92133268;Organization;False;;01969be37e684caed1a9cce14047b0bae30768b0;2021-11-18T14:21:13Z;['backupdomain.yml', 'domain.yml'];2;['.'];1;['data/nlu.yml'];1;1;0;0;['data'];1;['actions/actions.py'];1;['actions'];1;['README.md'];1
Liga-IA/Teste-Chatbot-RASA;https://github.com/Liga-IA/Teste-Chatbot-RASA;0;0;2021-10-17T16:23:40Z;2021-10-22T22:57:44Z;2021-10-22T22:57:41Z;main;Liga-IA;80552114;Organization;False;;cd9a7f2525817b9cfb22d31314fbcf5972e7bc4a;2021-10-22T22:57:36Z;['domain.yml', 'domain-test_interactive.yml'];2;['.'];1;['data/nlu-test_interactive.yml', 'data/nlu.yml'];2;2;0;0;['data'];1;[];0;[];0;['README.md'];1
TeamEpicProjects/CovoBot;https://github.com/TeamEpicProjects/CovoBot;1;1;2021-08-31T10:39:46Z;2021-09-29T10:03:30Z;2021-09-29T10:03:27Z;main;TeamEpicProjects;85295121;Organization;False;;5260113e4ea8a5758d3fd754e578a37a87fa63c8;2021-09-29T10:03:27Z;['domain.yml', 'domainnew.yml'];2;['.'];1;['data/nlu.yml', 'data/nlunew.yml', 'train_test_split/test_data.yml', 'train_test_split/training_data.yml'];4;4;0;0;['data', 'train_test_split'];2;['actions/actions.py'];1;['actions'];1;['README.md'];1
CoralGablesIT/AIDAChatBotV2;https://github.com/CoralGablesIT/AIDAChatBotV2;0;0;2021-08-27T19:37:23Z;2021-08-27T20:04:51Z;2021-08-27T20:04:48Z;main;CoralGablesIT;87492864;User;False;;2e307236808f7ad33e2403893c3ab4587ccfaa83;2021-08-27T20:01:32Z;['domain.yml', 'domainold.yml'];2;['.'];1;['data/nlu.yml'];1;1;0;0;['data'];1;[];0;[];0;['README.md'];1
JuanSLopez/AIDAChatBot;https://github.com/JuanSLopez/AIDAChatBot;0;0;2021-08-25T15:21:40Z;2021-08-25T15:24:00Z;2021-08-25T15:23:52Z;main;JuanSLopez;48839477;User;False;;0dc603e6ed02c8709569b7060bb57c5a953259db;2021-08-25T15:13:28Z;['domain.yml', 'domainold.yml'];2;['.'];1;['data/nlu.yml'];1;1;0;0;['data'];1;[];0;[];0;['README.md'];1
kambojrakesh/Chatbot_Rasa_2.0;https://github.com/kambojrakesh/Chatbot_Rasa_2.0;0;0;2021-07-12T07:00:33Z;2021-07-28T20:48:55Z;2021-07-28T20:48:52Z;main;kambojrakesh;42057314;User;False;;5aab768aea23b447a6462d610c4953c0aa7b9dd4;2021-07-28T20:48:18Z;['domain copy.yml', 'domain.yml'];2;['.'];1;['data/nlu copy.yml', 'data/nlu.yml'];2;2;0;0;['data'];1;['actions/actions.py'];1;['actions'];1;['README.md'];1
nomanmajeed/scubalifebot;https://github.com/nomanmajeed/scubalifebot;0;0;2021-07-13T18:24:15Z;2021-07-13T18:37:25Z;2021-07-13T18:37:19Z;master;nomanmajeed;44547517;User;False;;7f36c0c7bdc0726d67d85495ada204eab74ace18;2021-07-13T18:33:01Z;['dm.yml', 'domain.yml'];2;['.'];1;['data/nlu.yml'];1;1;0;0;['data'];1;['actions/actions.py'];1;['actions'];1;[];0
manoj567/Restaurant_Chatbot;https://github.com/manoj567/Restaurant_Chatbot;0;0;2021-06-22T07:54:00Z;2021-06-22T07:56:19Z;2021-06-22T07:56:17Z;main;manoj567;67918721;User;False;;460fc832a8c495e06c3a0582161e8dd055edf439;2021-06-22T07:56:16Z;['Rasa_basic_folder final/domain.yml', 'Rasa_basic_folder final/domain2.yml'];2;['Rasa_basic_folder final'];1;['Rasa_basic_folder final/data/nlu.md', 'Rasa_basic_folder final/data/nlu1.yml'];2;1;0;1;['Rasa_basic_folder final/data'];1;['Rasa_basic_folder final/actions.py'];1;['Rasa_basic_folder final'];1;['README.md'];1
joacosaralegui/wizard_de_diseno;https://github.com/joacosaralegui/wizard_de_diseno;2;2;2021-05-11T15:18:35Z;2021-06-10T01:47:07Z;2021-06-15T14:34:11Z;main;joacosaralegui;33520174;User;False;;ca7eb4c60f88619ea7e7e9a32cc91edc03dd78e4;2021-06-03T21:44:04Z;['domain/flujo-domain.yml', 'domain/autoconocimiento-domain.yml', 'domain/clases-domain.yml', 'domain/conceptos-domain.yml'];4;['domain'];1;['data/autoconocimiento/nlu.yml', 'data/clases/nlu.yml', 'data/conceptos/atributos.yml', 'data/conceptos/conceptos.yml', 'data/conceptos/patrones.yml', 'data/conceptos/patrones_poo.yml', 'data/flujo/nlu.yml', 'data/nlu.yml'];8;8;0;0;['data/autoconocimiento', 'data/clases', 'data/conceptos', 'data/flujo', 'data'];5;['actions/analisis_de_patrones.py', 'actions/mongo_client.py', 'actions/architecture_graph.py', 'actions/actions.py', 'actions/entities.py', 'actions/modelado.py'];6;['actions'];1;['README.md'];1
devmukul44/rasa_chatbot_restaurant_serarch;https://github.com/devmukul44/rasa_chatbot_restaurant_serarch;0;0;2021-05-29T06:17:33Z;2022-08-20T08:43:29Z;2021-06-01T03:26:01Z;master;devmukul44;15700993;User;False;;a395e4d8ebf2558c669942deb902f2940a7ef1aa;2021-06-01T03:25:51Z;['domain1.yml', 'domain2.yml', 'domain.yml'];3;['.'];1;['data/nlu.md'];1;0;0;1;['data'];1;['actions.py'];1;['.'];1;['README.md'];1
rctatman/personal_website_bot;https://github.com/rctatman/personal_website_bot;41;21;2020-11-20T00:51:38Z;2024-10-25T17:51:14Z;2021-05-28T17:21:20Z;main;rctatman;9597256;User;False;;a5d518f956bf5c2eba92d260be8f02eaea08aac9;2021-05-28T17:21:16Z;['forms.yml', 'responses.yml', 'domain.yml'];3;['.'];1;['data/nlu.yml', 'train_test_split/test_data.yml', 'train_test_split/training_data.yml'];3;3;0;0;['data', 'train_test_split'];2;['actions/actions.py'];1;['actions'];1;['README.md'];1
mathiasgodwin/Rixi-public;https://github.com/mathiasgodwin/Rixi-public;2;0;2021-03-28T04:34:38Z;2022-10-08T03:28:20Z;2021-05-25T02:00:52Z;main;mathiasgodwin;51170962;User;False;;a7b5e67556192527d856de28ba2a7fccd44b271f;2021-05-25T02:00:52Z;['Rixi/domains/weather_domain.yml', 'Rixi/domains/bot_profile_domain.yml', 'Rixi/domains/user_profile_domain.yml', 'Rixi/domains/news_api_domain.yml', 'Rixi/domains/smalltalk_domain.yml'];5;['Rixi/domains'];1;['Rixi/data/nlu/bot_profile_nlu.yml', 'Rixi/data/nlu/lookups/location.yml', 'Rixi/data/nlu/news_nlu.yml', 'Rixi/data/nlu/smalltalk_nlu.yml', 'Rixi/data/nlu/user_profile_nlu.yml', 'Rixi/data/nlu/weather_nlu.yml'];6;6;0;0;['Rixi/data/nlu', 'Rixi/data/nlu/lookups'];2;['Rixi/actions/news_api_actions.py', 'Rixi/actions/weather_actions.py'];2;['Rixi/actions'];1;['README.md'];1
AbishekMLEngineer/ChatBotFrameWorkWithRASA;https://github.com/AbishekMLEngineer/ChatBotFrameWorkWithRASA;1;0;2021-05-23T17:04:46Z;2022-03-10T07:42:41Z;2021-05-23T18:17:10Z;master;AbishekMLEngineer;22616085;User;False;;9d7e8b6a7564626365871b8a117f0895198608c9;2021-05-23T18:09:31Z;['domain.yml', 'domain26VeryImp.yml', 'domain26VeryImportant.yml', 'domain26morning.yml', 'domain27.yml', 'domainEvening.yml', 'domainFinal.yml', 'garbagedomain.yml'];8;['.'];1;['data/garbagenlu.yml', 'data/nlu.md', 'data/nlu24.md', 'data/nlu26Morning.md', 'data/nlu26VeryImp.md', 'data/nlu26VeryImportant.md', 'data/nlu27Imp.md', 'data/nluEven.md', 'data/nluFinal.md', 'data/nlu_12_23.md'];10;1;0;9;['data'];1;['actions/actions.py', 'actions.py'];2;['actions', '.'];2;[];0
swagathas/AIML--RASA-Chatbot;https://github.com/swagathas/AIML--RASA-Chatbot;0;0;2021-05-05T12:29:31Z;2021-05-05T12:35:46Z;2021-05-05T12:35:43Z;main;swagathas;30976054;User;False;;63ccca4fef7d7b8d741766a30afc8e7772dadf66;2021-05-05T12:35:43Z;['domain.yml', 'domain2.yml'];2;['.'];1;['data/nlu.md'];1;0;0;1;['data'];1;['actions.py'];1;['.'];1;['README.md'];1
tnichlani/RASA-Chatbot;https://github.com/tnichlani/RASA-Chatbot;0;0;2021-04-23T09:22:35Z;2021-04-23T09:22:35Z;2021-04-23T09:26:39Z;main;tnichlani;63067238;User;False;;5ea0f2d8d6c499a19ac61dabbf9517b95b26a0e0;2021-04-23T09:26:39Z;['Rasa_chatbot/domain.yml', 'Rasa_chatbot/domain1.yml', 'Rasa_chatbot/domain3.yml', 'Rasa_chatbot/domain4.yml', 'Rasa_chatbot/domain5.yml'];5;['Rasa_chatbot'];1;['Rasa_chatbot/nlu.md', 'Rasa_chatbot/nlu1.md', 'Rasa_chatbot/nlu2.md', 'Rasa_chatbot/nlu3.md', 'Rasa_chatbot/nlu4.md', 'Rasa_chatbot/nlu5.md'];6;0;0;6;['Rasa_chatbot'];1;['Rasa_chatbot/actions.py'];1;['Rasa_chatbot'];1;['README.md'];1
